q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 2.380000 , x = [2.898551   , 0.589764   , -0.413542   , 2.379801   , -2.332382   ]
q = 2.390000 , x = [2.877698   , 0.595369   , -0.415040   , 2.367941   , -2.317199   ]
q = 2.400000 , x = [2.857143   , 0.600893   , -0.416518   , 2.356250   , -2.302232   ]
q = 2.410000 , x = [2.836879   , 0.606339   , -0.417974   , 2.344725   , -2.287478   ]
q = 2.420000 , x = [2.816901   , 0.611708   , -0.419410   , 2.333363   , -2.272931   ]
q = 2.430000 , x = [2.797203   , 0.617002   , -0.420826   , 2.322159   , -2.258588   ]
q = 2.440000 , x = [2.777778   , 0.622222   , -0.422222   , 2.311111   , -2.244444   ]
q = 2.450000 , x = [2.758621   , 0.627371   , -0.423599   , 2.300216   , -2.230496   ]
q = 2.460000 , x = [2.739726   , 0.632449   , -0.424957   , 2.289469   , -2.216738   ]
q = 2.470000 , x = [2.721088   , 0.637457   , -0.426297   , 2.278869   , -2.203168   ]
q = 2.480000 , x = [2.702703   , 0.642399   , -0.427618   , 2.268412   , -2.189780   ]
q = 2.490000 , x = [2.684564   , 0.647273   , -0.428922   , 2.258096   , -2.176573   ]
q = 2.500000 , x = [2.666667   , 0.652083   , -0.430208   , 2.247917   , -2.163542   ]
q = 2.510000 , x = [2.649007   , 0.656829   , -0.431478   , 2.237873   , -2.150683   ]
q = 2.520000 , x = [2.631579   , 0.661513   , -0.432730   , 2.227961   , -2.137993   ]
q = 2.530000 , x = [2.614379   , 0.666136   , -0.433967   , 2.218178   , -2.125470   ]
q = 2.540000 , x = [2.597403   , 0.670698   , -0.435187   , 2.208523   , -2.113109   ]
q = 2.550000 , x = [2.580645   , 0.675202   , -0.436391   , 2.198992   , -2.100907   ]
q = 2.560000 , x = [2.564103   , 0.679647   , -0.437580   , 2.189583   , -2.088862   ]
q = 2.570000 , x = [2.547771   , 0.684037   , -0.438754   , 2.180295   , -2.076971   ]
q = 2.580000 , x = [2.531646   , 0.688370   , -0.439913   , 2.171123   , -2.065229   ]
q = 2.590000 , x = [2.515723   , 0.692649   , -0.441057   , 2.162068   , -2.053636   ]
q = 2.600000 , x = [2.500000   , 0.696875   , -0.442187   , 2.153125   , -2.042188   ]
q = 2.610000 , x = [2.484472   , 0.701048   , -0.443304   , 2.144293   , -2.030881   ]
q = 2.620000 , x = [2.469136   , 0.705170   , -0.444406   , 2.135571   , -2.019715   ]
q = 2.630000 , x = [2.453988   , 0.709241   , -0.445495   , 2.126956   , -2.008685   ]
q = 2.640000 , x = [2.439024   , 0.713262   , -0.446570   , 2.118445   , -1.997790   ]
q = 2.650000 , x = [2.424242   , 0.717235   , -0.447633   , 2.110038   , -1.987027   ]
q = 2.660000 , x = [2.409639   , 0.721160   , -0.448682   , 2.101732   , -1.976393   ]
q = 2.670000 , x = [2.395210   , 0.725037   , -0.449719   , 2.093525   , -1.965887   ]
q = 2.680000 , x = [2.380952   , 0.728869   , -0.450744   , 2.085417   , -1.955506   ]
q = 2.690000 , x = [2.366864   , 0.732655   , -0.451757   , 2.077404   , -1.945248   ]
q = 2.700000 , x = [2.352941   , 0.736397   , -0.452757   , 2.069485   , -1.935110   ]
q = 2.710000 , x = [2.339181   , 0.740095   , -0.453746   , 2.061659   , -1.925091   ]
q = 2.720000 , x = [2.325581   , 0.743750   , -0.454724   , 2.053924   , -1.915189   ]
q = 2.730000 , x = [2.312139   , 0.747363   , -0.455690   , 2.046279   , -1.905401   ]
q = 2.740000 , x = [2.298851   , 0.750934   , -0.456645   , 2.038721   , -1.895726   ]
q = 2.750000 , x = [2.285714   , 0.754464   , -0.457589   , 2.031250   , -1.886161   ]
q = 2.760000 , x = [2.272727   , 0.757955   , -0.458523   , 2.023864   , -1.876705   ]
q = 2.770000 , x = [2.259887   , 0.761405   , -0.459446   , 2.016561   , -1.867355   ]
q = 2.780000 , x = [2.247191   , 0.764817   , -0.460358   , 2.009340   , -1.858111   ]
q = 2.790000 , x = [2.234637   , 0.768191   , -0.461260   , 2.002200   , -1.848970   ]
q = 2.800000 , x = [2.222222   , 0.771528   , -0.462153   , 1.995139   , -1.839931   ]
q = 2.810000 , x = [2.209945   , 0.774827   , -0.463035   , 1.988156   , -1.830991   ]
q = 2.820000 , x = [2.197802   , 0.778091   , -0.463908   , 1.981250   , -1.822150   ]
q = 2.830000 , x = [2.185792   , 0.781318   , -0.464771   , 1.974419   , -1.813405   ]
